Date,Adj Close
2004/1/1,3479.8
2004/1/2,3501.87
2004/1/5,3623.03
2004/1/6,3672.28
2004/1/7,3725.91
2004/1/8,3764.46
2004/1/9,3696.42
2004/1/12,3765.57
2004/1/13,3748.02
2004/1/14,3712.32
2004/1/15,3706.61
2004/1/16,3729.34
2004/1/19,3729.34
2004/1/20,3729.34
2004/1/21,3729.34
2004/1/22,3729.34
2004/1/23,3729.34
2004/1/26,3729.34
2004/1/27,3729.34
2004/1/28,3729.34
2004/1/29,3816.88
2004/1/30,3716.87
2004/2/2,3774.88
2004/2/3,3797.99
2004/2/4,3866.9
2004/2/5,3844.55
2004/2/6,3822.2
2004/2/9,3899.51
2004/2/10,3892.23
2004/2/11,3876.08
2004/2/12,3850.03
2004/2/13,3842.03
2004/2/16,3924.06
2004/2/17,3940.19
2004/2/18,3984.7
2004/2/19,3966.42
2004/2/20,3986.66
2004/2/23,3898.54
2004/2/24,3896.66
2004/2/25,3833.05
2004/2/26,3892.96
2004/2/27,3919.92
2004/3/1,3967.7
2004/3/2,3933.79
2004/3/3,3897.85
2004/3/4,3934.49
2004/3/5,3908.56
2004/3/8,3827.85
2004/3/9,3822.17
2004/3/10,3902.79
2004/3/11,3952.78
2004/3/12,3948.44
2004/3/15,4050.48
2004/3/16,4061.16
2004/3/17,4078.35
2004/3/18,3999.7
2004/3/19,4058.96
2004/3/22,4072.22
2004/3/23,4027.23
2004/3/24,4030.79
2004/3/25,4043.8
2004/3/26,4061.53
2004/3/29,4008.08
2004/3/30,4009.14
2004/3/31,4060.14
2004/4/1,4092.69
2004/4/2,4132.54
2004/4/5,4126.7
2004/4/6,4157.82
2004/4/7,4170.28
2004/4/8,4147.81
2004/4/9,4051.96
2004/4/12,4047.27
2004/4/13,3995.65
2004/4/14,3922.58
2004/4/15,3903.61
2004/4/16,3941.07
2004/4/19,3898.28
2004/4/20,3854.48
2004/4/21,3819.88
2004/4/22,3827.85
2004/4/23,3782.71
2004/4/26,3770.25
2004/4/27,3754.59
2004/4/28,3702.8
2004/4/29,3600.04
2004/4/30,3613.17
2004/5/3,3613.17
2004/5/4,3613.17
2004/5/5,3613.17
2004/5/6,3613.17
2004/5/7,3613.17
2004/5/10,3476.99
2004/5/11,3492.97
2004/5/12,3596.38
2004/5/13,3575.91
2004/5/14,3489.9
2004/5/17,3460.2
2004/5/18,3487.12
2004/5/19,3503.3
2004/5/20,3475.29
2004/5/21,3514.22
2004/5/24,3499.85
2004/5/25,3436.69
2004/5/26,3469.2
2004/5/27,3561.86
2004/5/28,3548.69
2004/5/31,3577.65
2004/6/1,3632.46
2004/6/2,3597.3
2004/6/3,3533.87
2004/6/4,3522.89
2004/6/7,3479.41
2004/6/8,3440.72
2004/6/9,3387.17
2004/6/10,3401.38
2004/6/11,3381.69
2004/6/14,3302.52
2004/6/15,3366.33
2004/6/16,3396.89
2004/6/17,3306.04
2004/6/18,3263.7
2004/6/21,3290.96
2004/6/22,3326.52
2004/6/23,3299.14
2004/6/24,3290.2
2004/6/25,3255.6
2004/6/28,3230.78
