Name,
1995/3/24,1210
1995/3/27,1210
1995/3/28,1210
1995/3/29,1210
1995/3/30,1230
1995/3/31,1230
1995/4/3,1230
1995/4/4,1220
1995/4/5,1230
1995/4/6,1240
1995/4/7,1240
1995/4/10,1230
1995/4/11,1230
1995/4/12,1240
1995/4/13,1240
1995/4/14,1240
1995/4/17,1240
1995/4/18,1230
1995/4/19,1230
1995/4/20,1220
1995/4/21,1220
1995/4/24,1220
1995/4/25,1220
1995/4/26,1210
1995/4/27,1220
1995/4/28,1220
1995/5/1,1220
1995/5/2,1230
1995/5/3,1230
1995/5/4,1230
1995/5/5,1230
1995/5/8,1230
1995/5/9,1220
1995/5/10,1210
1995/5/11,1200
1995/5/12,1200
1995/5/15,1200
1995/5/16,1200
1995/5/17,1190
1995/5/18,1200
1995/5/19,1200
1995/5/22,1210
1995/5/23,1210
1995/5/24,1220
1995/5/25,1210
1995/5/26,1220
1995/5/29,1220
1995/5/30,1220
1995/5/31,1220
1995/6/1,1210
1995/6/2,1210
1995/6/5,1210
1995/6/6,1230
1995/6/7,1230
1995/6/8,1220
1995/6/9,1210
1995/6/12,1210
1995/6/13,1210
1995/6/14,1210
1995/6/15,1220
1995/6/16,1220
1995/6/19,1220
1995/6/20,1220
1995/6/21,1220
1995/6/22,1220
1995/6/23,1210
1995/6/26,1210
1995/6/27,1220
1995/6/28,1220
1995/6/29,1210
1995/6/30,1210
1995/7/3,1190
1995/7/4,1180
1995/7/5,1180
1995/7/6,1180
1995/7/7,1180
1995/7/10,1170
1995/7/11,1170
1995/7/12,1170
1995/7/13,1170
1995/7/14,1170
1995/7/17,1190
1995/7/18,1200
1995/7/19,1200
1995/7/20,1190
1995/7/21,1190
1995/7/24,1190
1995/7/25,1200
1995/7/26,1200
1995/7/27,1200
1995/7/28,1210
1995/7/31,1210
1995/8/1,1220
1995/8/2,1260
1995/8/3,1250
1995/8/4,1250
1995/8/7,1220
1995/8/8,1230
1995/8/9,1230
1995/8/10,1230
1995/8/11,1250
1995/8/14,1250
1995/8/15,1230
1995/8/16,1230
1995/8/17,1240
1995/8/18,1240
1995/8/21,1230
1995/8/22,1230
1995/8/23,1220
1995/8/24,1210
1995/8/25,1230
1995/8/28,1230
1995/8/29,1230
1995/8/30,1230
1995/8/31,1230
1995/9/1,1230
1995/9/4,1230
1995/9/5,1230
1995/9/6,1220
1995/9/7,1210
1995/9/8,1220
1995/9/11,1220
1995/9/12,1220
1995/9/13,1210
1995/9/14,1220
1995/9/15,1220
1995/9/18,1220
1995/9/19,1220
1995/9/20,1210
1995/9/21,1200
1995/9/22,1210
1995/9/25,1220
1995/9/26,1210
1995/9/27,1210
1995/9/28,1210
1995/9/29,1220
1995/10/2,1220
1995/10/3,1230
1995/10/4,1250
1995/10/5,1280
1995/10/6,1390
1995/10/9,1440
1995/10/10,1410
1995/10/11,1460
1995/10/12,1460
1995/10/13,1580
1995/10/16,1620
1995/10/17,1670
1995/10/18,1680
1995/10/19,1670
1995/10/20,1650
1995/10/23,1600
1995/10/24,1570
1995/10/25,1560
1995/10/26,1580
1995/10/27,1610
1995/10/30,1610
1995/10/31,1600
1995/11/1,1610
1995/11/2,1630
1995/11/3,1610
1995/11/6,1620
1995/11/7,1650
1995/11/8,1690
1995/11/9,1730
1995/11/10,1770
1995/11/13,1810
1995/11/14,1820
1995/11/15,1820
1995/11/16,1860
1995/11/17,1870
1995/11/20,1830
1995/11/21,1810
1995/11/22,1800
1995/11/23,1820
1995/11/24,1820
1995/11/27,1830
1995/11/28,1810
1995/11/29,1790
1995/11/30,1800
1995/12/1,1840
1995/12/4,1840
1995/12/5,1860
1995/12/6,1870
1995/12/7,1900
1995/12/8,1930
1995/12/11,1930
1995/12/12,1980
1995/12/13,1960
1995/12/14,1970
1995/12/15,1980
1995/12/18,1970
1995/12/19,1940
1995/12/20,1930
1995/12/21,1930
1995/12/22,1970
1995/12/25,1970
1995/12/26,1990
1995/12/27,2020
1995/12/28,2020
1995/12/29,2020
1996/1/1,2020
1996/1/2,2020
1996/1/3,2050
1996/1/4,2030
1996/1/5,2040
1996/1/8,2020
1996/1/9,2020
1996/1/10,2000
1996/1/11,1980
1996/1/12,1950
1996/1/15,1940
1996/1/16,1950
1996/1/17,1970
1996/1/18,1980
1996/1/19,1990
1996/1/22,2000
1996/1/23,2060
1996/1/24,2030
1996/1/25,2020
1996/1/26,2040
1996/1/29,2050
1996/1/30,2060
1996/1/31,2050
1996/2/1,2080
1996/2/2,2120
1996/2/5,2210
1996/2/6,2320
1996/2/7,2410
1996/2/8,2580
1996/2/9,2750
1996/2/12,3000
1996/2/13,2910
1996/2/14,2980
1996/2/15,2930
1996/2/16,2970
1996/2/19,2970
1996/2/20,2970
1996/2/21,2960
1996/2/22,2820
1996/2/23,2880
1996/2/26,2830
1996/2/27,2780
1996/2/28,2790
1996/2/29,2720
1996/3/1,2720
1996/3/4,2680
1996/3/5,2710
1996/3/6,2670
1996/3/7,2680
1996/3/8,2830
1996/3/11,2910
1996/3/12,2910
1996/3/13,2920
1996/3/14,2980
1996/3/15,3070
1996/3/18,3070
1996/3/19,3070
1996/3/20,3140
1996/3/21,3220
1996/3/22,3300
1996/3/25,3280
1996/3/26,3110
1996/3/27,3130
1996/3/28,3190
1996/3/29,3360
1996/4/1,3340
1996/4/2,3390
1996/4/3,3450
1996/4/4,3450
1996/4/5,3450
1996/4/8,3400
1996/4/9,3440
1996/4/10,3630
1996/4/11,3760
1996/4/12,3720
1996/4/15,3810
1996/4/16,3750
1996/4/17,3740
1996/4/18,3780
1996/4/19,3780
1996/4/22,3910
1996/4/23,3860
1996/4/24,3830
1996/4/25,3880
1996/4/26,3840
1996/4/29,3830
1996/4/30,3790
1996/5/1,3790
1996/5/2,3680
1996/5/3,3630
1996/5/6,3670
1996/5/7,3700
1996/5/8,3760
1996/5/9,3850
1996/5/10,3930
1996/5/13,3930
1996/5/14,3960
1996/5/15,4090
1996/5/16,4110
1996/5/17,4120
1996/5/20,4120
1996/5/21,4180
1996/5/22,4200
1996/5/23,4310
1996/5/24,4420
1996/5/27,4550
1996/5/28,4540
1996/5/29,4470
1996/5/30,4480
