Date,Adj Close
2004/1/1,1497.04
2004/1/2,1517.19
2004/1/5,1568.35
2004/1/6,1574.52
2004/1/7,1587.2
2004/1/8,1610.13
2004/1/9,1581.47
2004/1/12,1618.52
2004/1/13,1612.68
2004/1/14,1592.42
2004/1/15,1586.49
2004/1/16,1600.43
2004/1/19,1600.43
2004/1/20,1600.43
2004/1/21,1600.43
2004/1/22,1600.43
2004/1/23,1600.43
2004/1/26,1600.43
2004/1/27,1600.43
2004/1/28,1600.43
2004/1/29,1628.84
2004/1/30,1590.73
2004/2/2,1623.88
2004/2/3,1649.28
2004/2/4,1685.16
2004/2/5,1693.43
2004/2/6,1679.19
2004/2/9,1703.53
2004/2/10,1691.01
2004/2/11,1677.76
2004/2/12,1663.83
2004/2/13,1658.54
2004/2/16,1696.83
2004/2/17,1703.77
2004/2/18,1717.1
2004/2/19,1717.02
2004/2/20,1721.75
2004/2/23,1681.65
2004/2/24,1682.3
2004/2/25,1647.38
2004/2/26,1654.9
2004/2/27,1675.07
2004/3/1,1689.76
2004/3/2,1687.28
2004/3/3,1661.81
2004/3/4,1668.87
2004/3/5,1662.1
2004/3/8,1637.14
2004/3/9,1637.1
2004/3/10,1678.07
2004/3/11,1691.64
2004/3/12,1694.74
2004/3/15,1736.22
2004/3/16,1745.54
2004/3/17,1745.1
2004/3/18,1717.26
2004/3/19,1747.87
2004/3/22,1755.69
2004/3/23,1741.69
2004/3/24,1740.05
2004/3/25,1736.48
2004/3/26,1734.05
2004/3/29,1719.67
2004/3/30,1724.28
2004/3/31,1741.62
2004/4/1,1758.15
2004/4/2,1768.65
2004/4/5,1766.48
2004/4/6,1777.52
2004/4/7,1774.55
2004/4/8,1770.28
2004/4/9,1727.35
2004/4/12,1722.99
2004/4/13,1715.14
2004/4/14,1697.16
2004/4/15,1679.08
2004/4/16,1693.86
2004/4/19,1675.89
2004/4/20,1669.42
2004/4/21,1651.58
2004/4/22,1657.79
2004/4/23,1635.5
2004/4/26,1635.5
2004/4/27,1611.86
2004/4/28,1606.8
2004/4/29,1579.45
2004/4/30,1595.59
2004/5/3,1595.59
2004/5/4,1595.59
2004/5/5,1595.59
2004/5/6,1595.59
2004/5/7,1595.59
2004/5/10,1560.21
2004/5/11,1568.06
2004/5/12,1603.77
2004/5/13,1597.57
2004/5/14,1562.69
2004/5/17,1539.96
2004/5/18,1555.44
2004/5/19,1558.29
2004/5/20,1549.06
2004/5/21,1558.33
2004/5/24,1550.35
2004/5/25,1518.05
2004/5/26,1524.44
2004/5/27,1557.18
2004/5/28,1548.72
2004/5/31,1555.91
2004/6/1,1579.66
2004/6/2,1567.07
2004/6/3,1543.53
2004/6/4,1542.09
2004/6/7,1517.15
2004/6/8,1493.81
2004/6/9,1468.07
2004/6/10,1468.34
2004/6/11,1472.07
2004/6/14,1438.74
2004/6/15,1463.78
2004/6/16,1475.42
2004/6/17,1445.5
2004/6/18,1427.3
2004/6/21,1433.47
2004/6/22,1450.68
2004/6/23,1440.73
2004/6/24,1427.75
2004/6/25,1401.11
2004/6/28,1385.18
2004/6/29,1408.69
2004/6/30,1399.16
2004/7/1,1441.07
2004/7/2,1441.19
2004/7/5,1444.59
2004/7/6,1450.5
2004/7/7,1438.4
2004/7/8,1439.78
2004/7/9,1430.65
2004/7/12,1397.15
2004/7/13,1399.46
2004/7/14,1403.76
2004/7/15,1421.54
2004/7/16,1456.13
2004/7/19,1457.54
2004/7/20,1447.94
2004/7/21,1448.04
2004/7/22,1407.44
2004/7/23,1407.4
2004/7/26,1387.67
2004/7/27,1384.13
2004/7/28,1388.81
2004/7/29,1407.33
2004/7/30,1386.2
2004/8/2,1373.22
2004/8/3,1366.26
2004/8/4,1404.51
2004/8/5,1389.04
2004/8/6,1390.46
2004/8/9,1395.85
2004/8/10,1400.77
2004/8/11,1384.96
2004/8/12,1368.2
2004/8/13,1368.45
2004/8/16,1354.51
2004/8/17,1360.2
2004/8/18,1358.22
